Patterns,Target,Target_class
The column col1 has unique values.,df['col1'].nunique(),0
The column col1 has all unique values.,df['col1'].nunique(),0
"In the column col1, display all unique values.",df['col1'].nunique(),0
"In the column col1, display all the unique values.",df['col1'].nunique(),0
The column col1 contains all unique values.,df['col1'].nunique(),0
The column col1 contains unique values.,df['col1'].nunique(),0
All unique values are displayed in the column col1.,df['col1'].nunique(),0
The column col1 contains all the unique values.,df['col1'].nunique(),0
"In the column col1, show all the unique values.",df['col1'].nunique(),0
The column col1 has all the unique values.,df['col1'].nunique(),0
The column col1 should be displayed with all unique values.,df['col1'].nunique(),0
"In the column col1, display all of the unique values.",df['col1'].nunique(),0
"In the column col1, show all unique values.",df['col1'].nunique(),0
All unique values can be displayed in the column col1.,df['col1'].nunique(),0
The column col1 contains all of the unique values.,df['col1'].nunique(),0
The column col1 should display all unique values.,df['col1'].nunique(),0
There are all unique values in the column col1.,df['col1'].nunique(),0
All unique values should be displayed in the column col1.,df['col1'].nunique(),0
All unique values can be seen in the column col1.,df['col1'].nunique(),0
There are unique values in the column col1.,df['col1'].nunique(),0
All unique values are displayed in the column col1,df['col1'].nunique(),0
"In the column col1, display the unique values.",df['col1'].nunique(),0
The column col1 has all unique values displayed.,df['col1'].nunique(),0
The column col1 should be displayed with all the unique values.,df['col1'].nunique(),0
The column col 1 has all unique values.,df['col1'].nunique(),0
The column col1 should display all the unique values.,df['col1'].nunique(),0
All unique values are displayed in the column col 1.,df['col1'].nunique(),0
The column col1 is used to display unique values.,df['col1'].nunique(),0
"In the column col1, show all of the unique values.",df['col1'].nunique(),0
The column col1 can be used to display all unique values.,df['col1'].nunique(),0
The column col 1 has unique values.,df['col1'].nunique(),0
The column col 1 contains all unique values.,df['col1'].nunique(),0
"In the column col1, list all the unique values.",df['col1'].nunique(),0
"In the column col1, put all the unique values.",df['col1'].nunique(),0
The column col1 has all the unique values displayed.,df['col1'].nunique(),0
"In col1, display all unique values.",df['col1'].nunique(),0
The column col1 has a display of all unique values.,df['col1'].nunique(),0
The column col1 displays all unique values.,df['col1'].nunique(),0
The column col1 should be used to display all unique values.,df['col1'].nunique(),0
All unique values must be displayed in the column col1.,df['col1'].nunique(),0
The column col1 has all unique values in it.,df['col1'].nunique(),0
"In the column col1, display all the values that are unique.",df['col1'].nunique(),0
The column col 1 contains all the unique values.,df['col1'].nunique(),0
The column col1 has all of the unique values.,df['col1'].nunique(),0
"In the column col1, show the unique values.",df['col1'].nunique(),0
The column col1 can be used to display unique values.,df['col1'].nunique(),0
The column col1 should contain all unique values.,df['col1'].nunique(),0
The column col 1 has all the unique values.,df['col1'].nunique(),0
Use the column col1 to display all the unique values.,df['col1'].nunique(),0
The column col1 should be displayed with all of the unique values.,df['col1'].nunique(),0
The column col1 has a list of unique values.,df['col1'].nunique(),0
The column col1 has all the unique values in it.,df['col1'].nunique(),0
The column col1 should contain all the unique values.,df['col1'].nunique(),0
All unique values can be displayed in the column col1,df['col1'].nunique(),0
All unique values are displayed in the col1 column.,df['col1'].nunique(),0
"In the column col1, put all unique values.",df['col1'].nunique(),0
It's a good idea to display all the unique values in the column col1.,df['col1'].nunique(),0
The column col1 is used to display all unique values.,df['col1'].nunique(),0
In the column col1 you can display all the unique values.,df['col1'].nunique(),0
All unique values should be displayed in the column col1,df['col1'].nunique(),0
Use the column col1 to display all unique values.,df['col1'].nunique(),0
You can display all the unique values in the column col1.,df['col1'].nunique(),0
All unique values can be displayed in the column col 1.,df['col1'].nunique(),0
The column col1 should display all of the unique values.,df['col1'].nunique(),0
"In the column col1, put all of the unique values.",df['col1'].nunique(),0
There are all unique values in the column col1,df['col1'].nunique(),0
All unique values can be found in the column col1.,df['col1'].nunique(),0
The column col 1 contains unique values.,df['col1'].nunique(),0
All unique values can be seen in the column col1,df['col1'].nunique(),0
"In col1, display all the unique values.",df['col1'].nunique(),0
The column col1 should be displayed with unique values.,df['col1'].nunique(),0
All unique values can be seen in the col1 column.,df['col1'].nunique(),0
There are all unique values in the column col 1.,df['col1'].nunique(),0
There is a column called col1 that displays all unique values.,df['col1'].nunique(),0
All unique values should be displayed in the column col 1.,df['col1'].nunique(),0
All unique values are displayed in the column col 1,df['col1'].nunique(),0
The column col1 displays all the unique values.,df['col1'].nunique(),0
All unique values can be seen in the column col 1.,df['col1'].nunique(),0
The column col1 can be used to display all the unique values.,df['col1'].nunique(),0
The column col1 has all unique values listed.,df['col1'].nunique(),0
The column col1 should be used to display unique values.,df['col1'].nunique(),0
Use the column col1 to display unique values.,df['col1'].nunique(),0
All unique values are displayed in col1.,df['col1'].nunique(),0
"In the column col1, you can display all the unique values.",df['col1'].nunique(),0
The column col 1 should be displayed with all unique values.,df['col1'].nunique(),0
All unique values can be shown in the column col1.,df['col1'].nunique(),0
"In column col1, display all unique values.",df['col1'].nunique(),0
"In the column col1, list all of the unique values.",df['col1'].nunique(),0
All the unique values are displayed in the column col1.,df['col1'].nunique(),0
The column col1 is where you can display all the unique values.,df['col1'].nunique(),0
"In the column col1, display all values that are unique.",df['col1'].nunique(),0
It's a good idea to show all the unique values in the column col1.,df['col1'].nunique(),0
"In the column col1, display all the values that are unique to you.",df['col1'].nunique(),0
"In the column col1, displays all unique values.",df['col1'].nunique(),0
Use the column col1 to display all of the unique values.,df['col1'].nunique(),0
The column col1 should be used to display all the unique values.,df['col1'].nunique(),0
"In the column col1, display unique values.",df['col1'].nunique(),0
In the column col1 you can display all of the unique values.,df['col1'].nunique(),0
There are unique values in the column col1,df['col1'].nunique(),0
The column col1 should show all the unique values.,df['col1'].nunique(),0
All unique values are shown in the column col1.,df['col1'].nunique(),0
There are unique values in the column col 1.,df['col1'].nunique(),0
All unique values can be displayed in the col1 column.,df['col1'].nunique(),0
The column col1 has all the unique values listed.,df['col1'].nunique(),0
The column col1 should contain all of the unique values.,df['col1'].nunique(),0
The column col1 can be used to display all of the unique values.,df['col1'].nunique(),0
All unique values will be displayed in the column col1.,df['col1'].nunique(),0
All unique values need to be displayed in the column col1.,df['col1'].nunique(),0
In the column col1 you can display all unique values.,df['col1'].nunique(),0
There is a column called col1 that has unique values.,df['col1'].nunique(),0
"In the column col1, make a list of all the unique values.",df['col1'].nunique(),0
The column col1 should show all unique values.,df['col1'].nunique(),0
The column col1 has some unique values.,df['col1'].nunique(),0
The column col 1 contains all of the unique values.,df['col1'].nunique(),0
The column col1 should be display with all unique values.,df['col1'].nunique(),0
The column col1 can be displayed with all unique values.,df['col1'].nunique(),0
All unique values are displayed in the column.,df['col1'].nunique(),0
All unique values should be shown in the column col1.,df['col1'].nunique(),0
"In the column col1, show all the values that are unique.",df['col1'].nunique(),0
The column col1 has values that are unique.,df['col1'].nunique(),0
It's a good idea to display all unique values in the column col1.,df['col1'].nunique(),0
It's a good idea to display all the unique values in the column.,df['col1'].nunique(),0
You can display all unique values in the column col1.,df['col1'].nunique(),0
The column col1 has all unique values on it.,df['col1'].nunique(),0
The column col1 has all the values that are unique.,df['col1'].nunique(),0
"In the column col1, list all unique values.",df['col1'].nunique(),0
"In the column col1, you can display all of the unique values.",df['col1'].nunique(),0
"In the column col1, display all of the values that are unique.",df['col1'].nunique(),0
The column col1 is where you can display all unique values.,df['col1'].nunique(),0
"In col1, show all the unique values.",df['col1'].nunique(),0
All of the unique values are displayed in the column col1.,df['col1'].nunique(),0
The column col1 contains the unique values.,df['col1'].nunique(),0
In the column col1 display all unique values.,df['col1'].nunique(),0
You can display all of the unique values in the column col1.,df['col1'].nunique(),0
You can display all the unique values in col1.,df['col1'].nunique(),0
In the column col1 display all the unique values.,df['col1'].nunique(),0
All unique values should be displayed in the col1 column.,df['col1'].nunique(),0
All unique values must be displayed in the column col1,df['col1'].nunique(),0
The column col1 has a number of unique values.,df['col1'].nunique(),0
There is a column called col1 that contains all unique values.,df['col1'].nunique(),0
"In col1, show all unique values.",df['col1'].nunique(),0
The column col1 shows all the unique values.,df['col1'].nunique(),0
The column col1 should be used to display the unique values.,df['col1'].nunique(),0
It's a good idea to display all the unique values in the column col1,df['col1'].nunique(),0
It's a good idea to display all of the unique values in the column col1.,df['col1'].nunique(),0
You can show all the unique values in the column col1.,df['col1'].nunique(),0
The column col1 contains all the values that are unique.,df['col1'].nunique(),0
It is a good idea to display all the unique values in the column col1.,df['col1'].nunique(),0
Show all unique values in the column col1.,df['col1'].nunique(),0
"In the column col1, you can display all unique values.",df['col1'].nunique(),0
The column col1 is where you can display all of the unique values.,df['col1'].nunique(),0
A column called col1 has unique values.,df['col1'].nunique(),0
There are all unique values in the column.,df['col1'].nunique(),0
The column col1 holds all unique values.,df['col1'].nunique(),0
"In the column col1, there are all unique values.",df['col1'].nunique(),0
You can display all the unique values in the column col1,df['col1'].nunique(),0
The column col1 is filled with unique values.,df['col1'].nunique(),0
The column col 1 has all unique values displayed.,df['col1'].nunique(),0
The column col 1 should display all unique values.,df['col1'].nunique(),0
It's a good idea to display all the unique values in the column col 1.,df['col1'].nunique(),0
The column col1 is a place to display unique values.,df['col1'].nunique(),0
There is a column called col1 that contains unique values.,df['col1'].nunique(),0
There are all unique values in the col1 column.,df['col1'].nunique(),0
The column col1 should be used to display all of the unique values.,df['col1'].nunique(),0
There is a column called col1 which contains all unique values.,df['col1'].nunique(),0
All unique values must be displayed in the column col 1.,df['col1'].nunique(),0
The column col1 has a display of unique values.,df['col1'].nunique(),0
The column col1 should display the unique values.,df['col1'].nunique(),0
There are all unique values in col1.,df['col1'].nunique(),0
"In the column col1, display all UNIQUE VALUES.",df['col1'].nunique(),0
All unique values are listed in the column col1.,df['col1'].nunique(),0
You can display all the unique values in the column.,df['col1'].nunique(),0
The column col1 has all the unique values on it.,df['col1'].nunique(),0
Use the column col1 to display the unique values.,df['col1'].nunique(),0
You can display all the unique values in the col1 column.,df['col1'].nunique(),0
There's a column called col1 that displays all unique values.,df['col1'].nunique(),0
"In the column col1, highlight all the unique values.",df['col1'].nunique(),0
"In the column col1, put the unique values.",df['col1'].nunique(),0
Show all the unique values in the column col1.,df['col1'].nunique(),0
"If you want to show all the unique values, put them in the column col1.",df['col1'].nunique(),0
It's a good idea to display all the unique values in a column.,df['col1'].nunique(),0
The column col 1 should be displayed with all the unique values.,df['col1'].nunique(),0
All unique values are displayed in col1,df['col1'].nunique(),0
All values are displayed in the column col1.,df['col1'].nunique(),0
"In col1, display all of the unique values.",df['col1'].nunique(),0
The column col1 should be display with all the unique values.,df['col1'].nunique(),0
All unique values can be displayed in the column col 1,df['col1'].nunique(),0
"In the column col1, make a list of unique values.",df['col1'].nunique(),0
"In column col1, display all the unique values.",df['col1'].nunique(),0
